sample,race,shannon_wiener_index,normalized_shannon_wiener_index,simpson_index,inverse_simpson_index,gini_simpson_index,D50_index,chao1,chao1_SD,gini_coefficient
SRR5812683,European,8382.25912941172,0.7742971885008509,0.029501765827031522,33.89627610303015,0.9704982341729684,5.870757627699692,133450.70182992466,484.03187762440155,0.6465308899896582
SRR5812684,European,165.9295144235278,0.44608448255592315,0.06387411950662651,15.655793108760689,0.9361258804933735,0.0073898126154658215,112897.35295513886,285.65911436540824,0.9086845114120379
SRR5812685,European,214.34520356262937,0.6146363037137406,0.11286509537565707,8.860135161110948,0.887134904624343,0.16118633139909735,6388.6,43.08198447301034,0.744776215712112
SRR5812686,European,63881.874970903285,0.8863737232197313,0.0006582872317085716,1519.0937205397704,0.9993417127682914,8.741046727555235,292837.77484885126,408.1194417109592,0.6774861571467604
SRR5812687,European,19203.837343014213,0.9141567922631453,0.00042779018626329786,2337.594531410116,0.9995722098137367,12.399455512931567,50354.4859375,128.1699763266254,0.5592278480761999
SRR7993430,African,25471.837515267605,0.9310758532473298,8.88567913808727e-05,11254.063808287137,0.9999111432086192,13.775727597769501,77750.20754716982,871.9882969534727,0.6226263698319137
SRR7993431,African,15439.130372132422,0.9194614436987036,0.00015538257706498856,6435.727987583519,0.9998446174229351,12.464171420620564,58142.13145539906,961.6639772286154,0.6535244206275623
SRR7993432,African,29062.756692168306,0.9372104594158532,8.96355173422492e-05,11156.291943758944,0.9999103644826578,15.292612948943965,71857.31992574257,502.25488140566347,0.591639185262303
SRR7993435,African,37981.49966958472,0.9209868412222663,9.006775163482677e-05,11102.753003699128,0.9999099322483652,11.92571599045346,125731.25555187272,813.8269151071453,0.650625471704721
SRR7993436,African,18333.54186238555,0.930556980143344,0.0004279057224144635,2336.96337211264,0.9995720942775855,16.362968983508562,48682.16438356164,507.7912389649132,0.5665781737518556
SRR7993446,African,11275.361417087346,0.8212073927503498,0.003402425656745998,293.9079647537037,0.996597574343254,5.827478713999907,126767.30213183042,902.2115703985719,0.7552326948110621
SRR7993459,African,17571.29827588179,0.9410593022104932,0.00013359686404574447,7485.205638192175,0.9998664031359542,16.461476750285414,37392.97974217311,306.4766273397671,0.5598182460042334
SRR7993460,African,1213.8172160530266,0.7191578786300081,0.011379848245386806,87.87463404051832,0.9886201517546132,0.5299989708757847,27476.372641509435,511.2812435483216,0.8026970556033932
SRR7993461,African,9772.397165323608,0.8920617669280272,0.0010861237609722147,920.7053891398865,0.9989138762390278,11.541310349471416,36510.65392354125,415.1447547392593,0.643012605615354
SRR7993462,African,14151.973118448079,0.8741953963847143,0.0005165995034122778,1935.7355037988477,0.9994834004965877,5.6986213300950075,79535.85271317829,828.6127273524356,0.7238587208909245
SRR7993469,African,18607.51968507611,0.8712744668218799,0.0004935691027937442,2026.058751124635,0.9995064308972063,5.896184895505872,112350.82282184655,828.872110774661,0.7511249399740644
SRR7993470,African,26761.530592603114,0.8846524455398589,0.00042009936156611115,2380.3892399932383,0.9995799006384339,7.453121291241397,144720.07735426008,1004.2868247469899,0.7071709801181433
SRR7993471,African,37810.60899226998,0.9042234767071013,0.00022490101547439169,4446.400554887066,0.9997750989845257,9.658534895603301,148201.77293330454,714.3444627780111,0.676876583314122
SRR7993475,African,4896.392174040682,0.7801769868296321,0.007089501499082992,141.05364109582985,0.9929104985009171,2.3673712858367817,74527.28291694801,733.5510974017684,0.748402738799862
SRR7993476,African,4265.573045038101,0.8191112263820645,0.004289296765569095,233.1384501131206,0.9957107032344309,4.786229872293171,48199.2966226138,1009.2756298454849,0.7495045889546862
SRR7993477,African,1160.4750599810995,0.6777677055254062,0.012258044831715682,81.57907837085601,0.9877419551682843,0.3279181708784597,56869.34599156118,783.2408143318002,0.8825658581609935
SRR7993478,African,148.49392548571356,0.5914528372294797,0.02642066292976477,37.84916384037542,0.9735793370702353,0.3832233340430062,8677.11051212938,290.161372955198,0.9486081639650153
SRR7993479,African,365.95723914686226,0.5969423609630707,0.01377830837742207,72.57785009650804,0.9862216916225779,0.20313848966532935,25852.834170854272,213.90882114800996,0.9687670931253043
SRR7993480,African,4130.088125618675,0.8402118720163395,0.0019124546738438439,522.8882094183698,0.9980875453261562,3.752485089463221,41608.41836734694,1289.0280439402577,0.7667620055465346
SRR7993481,African,226.44012087537047,0.6286693537827694,0.03758465080312691,26.606606117963548,0.9624153491968731,0.3410518757853168,11772.946601941749,541.4992354565239,0.8882311063817765
SRR7993482,African,3152.4728222873055,0.791472299479129,0.0036126154228657958,276.8077647209748,0.9963873845771342,2.035778039424209,38375.10666666667,546.6902678811908,0.8318061253657892
SRR7993491,African,17124.53432469964,0.9146179835392999,0.00026501869254086,3773.3187437177558,0.9997349813074592,12.908988341481761,66062.67986030268,1009.4025846635385,0.6213938724490049
SRR7993492,African,3900.1354497039833,0.8308455976209684,0.008948509565777281,111.7504532625639,0.9910514904342227,8.109909995714082,26554.16990291262,372.97445277064617,0.683150241563739
SRR7993493,African,11959.066078519849,0.8858837516424827,0.0007953614002708945,1257.2900817910036,0.9992046385997291,8.976150084821874,58097.125439624855,796.6480324582168,0.6981379948112421
SRR7993494,African,31288.59699538078,0.9112995161347943,0.0013898620275700163,719.4958781256606,0.99861013797243,14.64780843019185,89988.3906938326,150.3807043747967,0.5656317472857325
SRR7993495,African,10801.611100440165,0.8974938355886846,0.0009067982573674482,1102.7811223448184,0.9990932017426325,10.522098650684272,32209.44740024184,73.53612275512701,0.6388714863002195
SRR7993496,African,38872.69631061365,0.959546658516967,6.53490876543198e-05,15302.432457661045,0.9999346509123457,21.11116603232663,62646.928825622774,97.04472846953291,0.45867888416410413
SRR7993498,African,26880.35649932772,0.9116029511904096,0.0012800353781439386,781.2284074913679,0.9987199646218561,13.996319307033446,75402.90470219436,122.52697860520782,0.5517703380519057
SRR7993504,African,33110.76176218129,0.934861069338248,0.0001935903107810468,5165.547779563271,0.999806409689219,16.173567135147785,71750.91475644699,134.0176849689288,0.528964853223506
SRR7993521,African,34297.47286493326,0.9195136139931767,0.00011390730719070243,8779.068039294532,0.9998860926928093,10.572270145171471,90400.3275862069,172.41442499881518,0.672004936509182
